CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Unnamed: 19
789920883,45.0,F,3,Graduate,Single,Unknown,Blue,36.0,3.0,3,4,11189.0,2517,2.041,2959,58,1.231,0.225,
788677533,44.0,M,4,Unknown,Married,$120K +,Blue,31.0,4.0,3,4,34516.0,1197,0.669,1594,43,1.15,0.035,
716284308,65.0,M,2,Graduate,Married,Unknown,Blue,55.0,3.0,2,2,6099.0,2175,0.582,1319,34,0.545,0.357,
712120608,35.0,M,3,College,,$80K - $120K,Blue,27.0,3.0,2,3,3575.0,1884,0.384,861,15,1.5,0.527,
715482483,26.0,M,0,High School,Single,Unknown,,36.0,5.0,2,3,3184.0,1421,0.712,2253,59,0.439,0.446,
720848733,38.0,M,1,High School,Married,$80K - $120K,Blue,24.0,4.0,3,2,13363.0,1230,0.688,1815,33,0.435,0.092,
708480333,65.0,M,0,Unknown,Single,$40K - $60K,Blue,36.0,5.0,2,3,2163.0,932,1.127,2229,57,0.839,0.431,
826723308,58.0,M,3,College,Married,$120K +,Blue,54.0,5.0,1,4,3452.0,2088,0.768,1008,21,0.4,0.605,
801369258,47.0,F,5,Post-Graduate,Married,$40K - $60K,Blue,41.0,6.0,2,2,4466.0,777,1.02,1757,59,0.595,0.174,
709584483,33.0,F,3,Graduate,Married,Less than $40K,Blue,25.0,4.0,1,4,3030.0,2517,0.785,1805,44,0.467,0.831,
715708308,54.0,F,3,Doctorate,Married,$40K - $60K,Blue,39.0,3.0,1,3,2112.0,1594,1.204,1338,29,2.222,0.755,
779707308,35.0,F,1,Graduate,,Less than $40K,Blue,18.0,5.0,1,2,7583.0,1619,1.468,2229,53,1.208,0.214,
711688158,47.0,M,5,Graduate,,$120K +,Blue,27.0,5.0,3,4,11760.0,2306,0.616,1498,49,0.96,0.196,
711848658,35.0,M,3,College,Married,$60K - $80K,Blue,17.0,3.0,3,2,2259.0,1776,1.292,1790,31,0.824,0.786,
715855083,48.0,M,4,High School,Married,$80K - $120K,Blue,36.0,6.0,2,4,19762.0,507,0.85,2793,67,0.595,0.026,
778971408,36.0,M,4,Doctorate,,$60K - $80K,Blue,17.0,5.0,2,4,2803.0,1848,0.614,1968,64,0.524,0.659,
711648708,44.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,3.0,3,2,25666.0,756,0.69,4088,84,0.867,0.029,
713149683,44.0,F,3,College,,Less than $40K,Blue,24.0,5.0,1,4,9297.0,1668,0.521,1264,31,0.632,0.179,
771903033,36.0,F,1,Graduate,Married,Less than $40K,Blue,25.0,5.0,1,2,2999.0,1247,0.962,2017,40,0.6,0.416,
737925558,64.0,M,0,Doctorate,Married,$40K - $60K,,56.0,3.0,2,2,4234.0,1893,0.585,1439,42,0.355,0.447,
803347908,34.0,F,1,Graduate,Single,Less than $40K,Gold,28.0,4.0,3,2,15987.0,0,1.494,2327,65,0.806,0.0,
817285758,49.0,M,4,Graduate,,$80K - $120K,Blue,33.0,5.0,5,3,16435.0,0,0.676,1721,56,0.514,0.0,
711480108,37.0,M,4,High School,Married,$60K - $80K,,24.0,3.0,1,4,5335.0,2145,0.879,1888,43,0.433,0.402,
709662708,65.0,M,1,High School,Married,$40K - $60K,Blue,53.0,3.0,3,3,3506.0,1604,0.574,1953,61,0.649,0.458,
709224858,53.0,M,2,Post-Graduate,Married,$80K - $120K,Blue,36.0,5.0,1,2,3610.0,1629,0.821,1652,40,0.481,0.451,
821771508,32.0,M,0,High School,Married,$40K - $60K,Blue,28.0,5.0,1,2,3172.0,2055,0.663,1939,36,0.636,0.648,
712216533,44.0,M,5,Unknown,,$80K - $120K,Blue,34.0,6.0,2,3,8206.0,763,0.87,1715,43,0.72,0.093,
710522433,65.0,M,0,Graduate,Married,Less than $40K,Blue,46.0,3.0,2,2,2416.0,1499,0.905,2372,53,0.514,0.62,
779046408,60.0,M,0,Graduate,Married,$40K - $60K,Blue,41.0,3.0,2,4,2458.0,1880,0.759,1238,30,0.579,0.765,
708595158,27.0,F,0,Graduate,Single,Less than $40K,Blue,36.0,6.0,1,2,1677.0,1598,0.994,2389,43,0.536,0.953,
757266933,52.0,M,2,Post-Graduate,,$60K - $80K,Blue,45.0,4.0,1,4,11819.0,929,0.773,2431,46,0.484,0.079,
816776283,42.0,M,4,High School,Unknown,$80K - $120K,,37.0,5.0,1,2,34516.0,1797,1.314,1534,30,0.875,0.052,
719904333,29.0,M,0,Graduate,Married,$40K - $60K,Blue,36.0,3.0,3,4,1459.0,590,1.164,2229,52,1.08,0.404,
718264233,29.0,M,0,High School,Married,$40K - $60K,Blue,13.0,4.0,1,4,1458.0,671,1.583,2449,56,0.931,0.46,
784798683,38.0,M,2,High School,Married,$40K - $60K,Blue,32.0,3.0,2,2,1438.3,0,0.846,1999,39,0.56,0.0,
710899833,36.0,M,2,Graduate,Married,$40K - $60K,Blue,18.0,3.0,1,3,7758.0,1408,0.365,569,23,0.643,0.181,
780025908,40.0,F,2,Post-Graduate,,Less than $40K,Silver,30.0,4.0,2,2,10836.0,1932,0.563,1293,31,0.824,0.178,
713610033,47.0,M,3,Post-Graduate,Single,$60K - $80K,,36.0,5.0,3,3,5062.0,1996,0.591,1314,40,0.429,0.394,
709364433,36.0,F,3,High School,Married,Unknown,Blue,30.0,6.0,2,2,3399.0,2173,0.795,1571,34,1.0,0.639,
713086908,26.0,M,0,High School,Single,$40K - $60K,Blue,,5.0,2,2,2212.0,1670,0.777,2520,51,0.545,0.755,
709793133,43.0,F,2,Unknown,Single,$40K - $60K,Blue,36.0,6.0,1,4,3186.0,2470,0.58,1531,37,0.233,0.775,
710032608,52.0,F,1,Graduate,,Less than $40K,Blue,32.0,3.0,1,3,5927.0,2320,0.544,1558,46,0.643,0.391,
779351208,49.0,M,2,Unknown,,$60K - $80K,,34.0,4.0,1,4,5176.0,0,0.838,1902,56,0.931,0.0,
719776608,50.0,M,2,Graduate,Married,$80K - $120K,,37.0,3.0,1,3,3126.0,0,0.824,1388,41,0.464,0.0,
709220583,34.0,M,3,Graduate,Divorced,$80K - $120K,Blue,21.0,6.0,4,2,4670.0,0,0.883,2256,56,0.6,0.0,
719555733,53.0,F,2,Uneducated,Married,Unknown,Blue,36.0,4.0,3,3,2162.0,1592,0.547,1736,42,0.615,0.736,
740852733,49.0,M,3,High School,Married,$80K - $120K,Blue,42.0,4.0,1,2,10155.0,1805,0.673,1685,49,0.815,0.178,
709528308,53.0,M,4,High School,Married,$80K - $120K,Blue,46.0,4.0,2,3,15242.0,1170,0.496,1876,57,0.5,0.077,
715127208,48.0,M,3,Doctorate,,$120K +,Blue,36.0,4.0,3,2,34516.0,2517,0.697,1699,48,0.846,0.073,
817144458,32.0,F,2,Graduate,Single,Less than $40K,,17.0,5.0,1,2,1438.3,1228,1.132,2580,67,0.971,0.854,
710628783,38.0,M,4,High School,Single,$80K - $120K,Gold,36.0,6.0,1,3,34516.0,1140,0.815,1445,45,0.957,0.033,
772145658,43.0,M,4,Uneducated,Single,$80K - $120K,Blue,32.0,4.0,1,3,16043.0,2036,0.7,1394,28,0.75,0.127,
739594758,51.0,F,2,Graduate,Single,Less than $40K,,44.0,6.0,3,2,3181.0,2517,0.595,818,16,0.455,0.791,
789198708,58.0,M,3,Graduate,,$120K +,,47.0,3.0,1,2,27088.0,0,0.581,1135,24,0.846,0.0,
720953658,59.0,F,0,Graduate,Married,Less than $40K,Blue,36.0,5.0,3,4,5688.0,914,1.099,1824,53,1.038,0.161,
771330558,51.0,,4,High School,,$60K - $80K,Blue,38.0,5.0,2,3,10462.0,1824,0.736,1267,31,0.55,0.174,
714078558,62.0,F,1,High School,,$40K - $60K,Blue,53.0,2.0,1,1,5249.0,0,0.758,1315,31,0.722,0.0,
712207683,38.0,,0,Unknown,Divorced,Less than $40K,,36.0,3.0,3,2,5155.0,684,0.588,1555,37,0.48,0.133,
788826408,33.0,M,1,Uneducated,Married,$120K +,Blue,16.0,6.0,1,3,10705.0,1352,1.171,2434,58,0.812,0.126,
790128033,54.0,M,3,High School,Single,$80K - $120K,Blue,47.0,3.0,1,2,16494.0,1348,0.759,1302,36,0.385,0.082,
718082208,37.0,F,1,Graduate,Married,$40K - $60K,,30.0,5.0,3,4,6469.0,2351,1.018,1717,50,0.667,0.363,
712037358,30.0,M,0,Unknown,Married,$60K - $80K,,23.0,3.0,3,2,5146.0,1773,0.879,1509,45,0.667,0.345,
711711483,61.0,M,0,High School,Married,$80K - $120K,Blue,50.0,4.0,1,3,2800.0,2448,0.549,1433,40,0.481,0.874,
718861458,49.0,M,5,Unknown,Single,$60K - $80K,Blue,36.0,6.0,1,2,5159.0,1532,0.787,1826,37,0.609,0.297,
709426608,56.0,M,1,Doctorate,Married,$60K - $80K,Blue,46.0,5.0,2,4,5248.0,1816,0.696,2305,45,0.731,0.346,
811457058,51.0,F,3,Post-Graduate,Married,Less than $40K,Blue,46.0,5.0,3,2,5881.0,2005,0.659,1931,56,0.806,0.341,
773073558,44.0,F,3,Graduate,Divorced,Less than $40K,Blue,36.0,6.0,3,3,1467.0,896,0.692,1731,54,0.5,0.611,
715937133,64.0,F,1,Uneducated,,$40K - $60K,Blue,52.0,6.0,2,2,4999.0,2299,0.716,1601,48,0.5,0.46,
713480583,46.0,F,3,High School,Married,Unknown,Blue,36.0,5.0,2,2,4668.0,0,0.89,1612,47,1.474,0.0,
716383683,39.0,F,2,Post-Graduate,Unknown,Less than $40K,Blue,36.0,4.0,3,4,1438.3,0,0.7,1338,28,0.867,0.0,
713693958,38.0,F,1,Uneducated,Single,Less than $40K,,27.0,6.0,3,4,8638.0,0,0.489,1295,29,0.381,0.0,
715443708,53.0,M,1,Uneducated,,$120K +,,45.0,5.0,1,3,9343.0,1286,0.712,1385,31,0.722,0.138,
770769483,35.0,M,2,Post-Graduate,,$40K - $60K,Blue,21.0,3.0,1,3,2256.0,775,0.879,1749,33,0.435,0.344,
789326808,26.0,M,0,College,Single,$60K - $80K,Blue,15.0,5.0,1,2,8267.0,1720,0.633,1917,37,0.48,0.208,
712105533,32.0,,2,High School,Single,$40K - $60K,Blue,20.0,6.0,3,4,2235.0,1638,0.912,2905,56,0.806,0.733,
720674133,36.0,M,1,Uneducated,Married,$40K - $60K,,16.0,5.0,3,2,3735.0,2027,0.79,1672,48,0.655,0.543,
779216358,48.0,M,2,College,Married,$80K - $120K,Blue,38.0,2.0,2,3,2111.0,0,0.531,773,17,0.133,0.0,
717322833,55.0,M,2,Unknown,Single,$80K - $120K,,36.0,5.0,2,2,10604.0,1988,0.644,1578,30,0.579,0.187,
710279508,52.0,M,2,Graduate,Married,$80K - $120K,Blue,42.0,5.0,3,2,21782.0,1006,0.654,1537,35,0.591,0.046,
712168833,52.0,F,1,High School,,Less than $40K,Blue,36.0,6.0,3,3,2133.0,1469,0.831,1426,37,0.682,0.689,
780581508,58.0,F,1,Doctorate,,$40K - $60K,Silver,47.0,5.0,2,4,16677.0,1590,0.885,1410,37,0.609,0.095,
711957708,38.0,F,2,Graduate,Married,Less than $40K,Blue,36.0,6.0,3,4,2717.0,1591,1.596,2064,33,1.062,0.586,
778782858,60.0,M,1,Graduate,Single,Less than $40K,Blue,48.0,5.0,3,3,3980.0,930,0.72,4449,82,0.608,0.234,
712924383,55.0,M,3,Unknown,,$60K - $80K,Blue,36.0,3.0,2,2,8411.0,979,1.029,990,22,0.375,0.116,
709366458,43.0,F,3,College,Married,Less than $40K,Blue,,3.0,2,4,2227.0,1394,1.481,1972,41,0.864,0.626,
796990908,35.0,M,3,Post-Graduate,Single,$80K - $120K,Silver,29.0,5.0,3,2,34516.0,1872,1.068,2227,61,1.103,0.054,
715702758,38.0,F,4,Graduate,,Less than $40K,Blue,36.0,4.0,3,3,1860.0,0,0.992,1731,29,0.611,0.0,
788974608,48.0,M,3,Graduate,Unknown,$60K - $80K,Blue,35.0,5.0,1,3,2829.0,2342,0.991,1561,41,1.05,0.828,
714790008,38.0,F,1,Unknown,,Less than $40K,Blue,36.0,3.0,2,3,3764.0,0,0.583,1572,57,0.357,0.0,
787438983,43.0,M,3,College,Single,$40K - $60K,,23.0,6.0,2,2,4559.0,1664,0.871,1652,37,0.609,0.365,
713834358,36.0,F,2,Post-Graduate,Married,Less than $40K,Blue,25.0,5.0,3,4,4701.0,1492,0.805,1679,32,0.455,0.317,
710084883,34.0,M,2,College,Married,$80K - $120K,Blue,22.0,4.0,2,4,1631.0,0,1.893,2962,57,1.111,0.0,
710736558,39.0,F,2,Unknown,Married,Unknown,Blue,36.0,4.0,3,4,8096.0,1474,0.789,1794,41,0.783,0.182,
788915283,43.0,F,2,College,Single,Less than $40K,Blue,29.0,5.0,1,2,2304.0,1589,0.872,1273,36,0.895,0.69,
714916758,48.0,F,2,Uneducated,,$40K - $60K,Blue,36.0,3.0,3,2,5210.0,0,0.531,1309,45,0.607,0.0,
789611283,44.0,M,4,Graduate,Married,$40K - $60K,,38.0,5.0,2,3,5452.0,2091,0.813,1347,30,0.5,0.384,
773288958,38.0,,1,Graduate,Married,$60K - $80K,Blue,31.0,6.0,3,3,7475.0,1473,0.775,1592,30,0.429,0.197,
811721133,62.0,M,1,High School,Married,$40K - $60K,Blue,,5.0,3,3,2359.0,1242,1.043,2021,50,0.613,0.526,
813961233,30.0,M,0,Unknown,Single,$80K - $120K,Blue,25.0,5.0,2,2,4237.0,1676,0.786,2465,88,0.725,0.396,
783020958,39.0,M,3,Unknown,Married,$80K - $120K,,33.0,6.0,6,4,18582.0,794,0.717,1836,46,0.586,0.043,
715764483,53.0,F,3,High School,Unknown,Less than $40K,Blue,37.0,3.0,2,4,7202.0,974,0.517,1397,33,0.5,0.135,
798110358,64.0,F,1,High School,Married,$40K - $60K,Blue,56.0,4.0,2,4,1438.3,0,0.693,1417,35,0.591,0.0,
715745508,51.0,F,4,Graduate,Single,Unknown,Blue,34.0,3.0,1,2,11221.0,1279,1.116,1564,45,1.647,0.114,
714350658,32.0,M,1,Graduate,Single,Unknown,Blue,26.0,6.0,3,4,18889.0,1880,0.702,2979,55,0.774,0.1,
826478958,52.0,M,1,College,,$80K - $120K,Blue,48.0,4.0,3,3,2066.0,1601,0.742,1578,41,0.414,0.775,
719127558,43.0,M,2,High School,,$80K - $120K,Blue,31.0,6.0,2,4,34516.0,1075,0.727,3015,65,0.477,0.031,
712454958,40.0,M,5,Graduate,Single,$60K - $80K,Blue,27.0,6.0,1,2,2742.0,1416,0.761,1539,38,1.111,0.516,
718561458,54.0,M,1,High School,Married,$60K - $80K,Blue,36.0,4.0,1,4,20050.0,1225,0.907,1306,26,0.238,0.061,
822984108,34.0,F,4,High School,Single,Less than $40K,Blue,30.0,4.0,1,3,3046.0,2279,0.611,2330,69,0.643,0.748,
719469333,33.0,F,1,High School,,Less than $40K,Blue,25.0,6.0,3,4,6193.0,695,0.632,2456,69,0.725,0.112,
720871383,36.0,M,2,Graduate,,$80K - $120K,Blue,28.0,5.0,3,3,5634.0,1996,1.589,2366,49,0.69,0.354,
788827308,65.0,M,1,Graduate,,Less than $40K,Blue,50.0,6.0,2,4,4507.0,1574,0.744,1793,38,0.652,0.349,
710180958,43.0,M,3,High School,Single,$40K - $60K,Blue,33.0,5.0,2,3,3040.0,2517,0.493,1598,31,0.476,0.828,
778346283,53.0,M,0,Graduate,Married,$120K +,Blue,33.0,4.0,3,3,21006.0,1905,0.701,1856,57,0.781,0.091,
787547208,48.0,F,3,College,Single,Less than $40K,Blue,38.0,3.0,3,4,7326.0,1710,1.171,1852,62,1.0,0.233,
714983283,39.0,F,3,High School,Single,Less than $40K,Blue,36.0,6.0,1,3,3651.0,0,0.977,862,19,1.111,0.0,
789344358,57.0,F,1,Unknown,Married,Less than $40K,Blue,47.0,4.0,1,3,3416.0,2468,0.598,1536,42,0.556,0.722,
710406633,51.0,F,3,Uneducated,,Unknown,,36.0,3.0,3,2,3664.0,0,0.839,1168,31,0.409,0.0,
767653233,48.0,M,3,Graduate,Married,$60K - $80K,Blue,42.0,6.0,1,3,6085.0,930,1.307,3154,59,0.967,0.153,
719461008,51.0,M,2,High School,Married,$60K - $80K,Blue,38.0,5.0,3,2,22332.0,1748,0.841,1318,28,0.647,0.078,
789731433,26.0,F,0,Unknown,Single,Less than $40K,Blue,13.0,4.0,2,4,2063.0,1390,0.877,2602,42,0.556,0.674,
775198608,38.0,F,2,Graduate,,Less than $40K,Blue,32.0,5.0,3,3,4429.0,0,1.065,1970,40,0.818,0.0,
717567333,35.0,M,3,Graduate,Married,$60K - $80K,Blue,26.0,6.0,3,2,3991.0,1982,0.748,1661,35,0.944,0.497,
772794108,46.0,F,3,Doctorate,Single,Less than $40K,Blue,36.0,5.0,1,4,2201.0,651,0.825,3165,65,0.585,0.296,
712072908,48.0,M,4,College,Single,$80K - $120K,Blue,36.0,4.0,3,2,2852.0,736,0.386,1382,40,0.29,0.258,
709328733,49.0,F,2,Uneducated,Married,Less than $40K,Blue,37.0,6.0,3,3,9723.0,2459,0.444,1258,24,1.0,0.253,
788107683,35.0,M,4,High School,,$40K - $60K,Blue,27.0,6.0,2,3,5325.0,1318,1.045,1814,43,0.593,0.248,
713757633,65.0,F,0,Unknown,Married,$40K - $60K,Blue,56.0,3.0,2,4,7427.0,1303,0.61,1596,42,0.909,0.175,
713279808,53.0,M,2,Unknown,Married,$60K - $80K,Blue,36.0,6.0,3,3,5619.0,1310,1.276,1816,30,1.143,0.233,
712440483,54.0,F,2,Uneducated,,Less than $40K,Blue,44.0,3.0,1,3,5413.0,1836,0.766,1164,43,0.593,0.339,
715078383,64.0,F,0,Graduate,Married,Unknown,Blue,36.0,3.0,1,3,7646.0,1010,0.421,1667,47,0.469,0.132,
709214358,39.0,F,3,Graduate,Divorced,Unknown,Blue,30.0,3.0,3,2,2420.0,1422,0.731,1362,24,0.714,0.588,
778399008,50.0,M,0,High School,Married,$80K - $120K,Blue,30.0,3.0,4,2,4252.0,0,0.478,1598,45,0.324,0.0,
811534983,54.0,,3,Graduate,Married,Less than $40K,Blue,49.0,5.0,2,4,2031.0,1069,0.87,1943,47,0.621,0.526,
719728383,38.0,F,4,Graduate,Married,Unknown,,28.0,4.0,1,2,6861.0,1598,2.103,2228,39,0.95,0.233,
718726833,39.0,,1,High School,Married,$80K - $120K,Blue,28.0,4.0,2,4,3327.0,0,1.089,1665,36,0.636,0.0,
780605508,53.0,M,1,Unknown,Married,$40K - $60K,Blue,41.0,5.0,1,3,2885.0,1433,1.017,1170,23,0.769,0.497,
719450508,53.0,M,2,High School,Married,$120K +,Blue,41.0,4.0,3,3,7272.0,2037,0.795,2333,56,0.697,0.28,
711213108,32.0,M,1,College,,$80K - $120K,,,5.0,3,4,34516.0,0,0.845,2305,60,0.714,0.0,
708488208,57.0,F,3,Uneducated,Married,Less than $40K,Blue,47.0,5.0,3,3,2515.0,1922,1.181,2231,58,0.611,0.764,
717206508,65.0,F,0,High School,Married,Less than $40K,Blue,36.0,3.0,2,2,2798.0,1806,0.765,1543,35,0.591,0.645,
821836008,57.0,M,2,Uneducated,Single,$80K - $120K,Blue,53.0,5.0,2,4,34516.0,2099,0.629,1233,26,0.857,0.061,
807244983,65.0,F,0,College,,Less than $40K,Blue,,6.0,1,2,1438.3,680,0.512,2283,55,0.571,0.473,
821872758,65.0,M,0,High School,Single,Less than $40K,Silver,56.0,4.0,2,4,12609.0,2517,0.833,2121,49,0.531,0.2,
809959683,55.0,M,2,College,Married,$80K - $120K,Blue,50.0,4.0,2,4,19159.0,2108,0.69,1813,52,0.576,0.11,
715079208,54.0,M,1,College,Married,$80K - $120K,Blue,42.0,4.0,1,4,9642.0,2517,0.614,1401,35,0.458,0.261,
767049258,44.0,M,4,High School,Single,$120K +,Blue,37.0,5.0,3,3,8396.0,1672,0.602,1475,35,0.75,0.199,
709579383,58.0,M,1,Uneducated,Married,$80K - $120K,Blue,50.0,5.0,3,2,6978.0,1148,1.645,1362,26,1.0,0.165,
781923483,53.0,F,1,College,Married,$40K - $60K,Blue,47.0,3.0,3,4,2459.0,1733,1.216,2309,62,0.632,0.705,
718654533,33.0,F,1,High School,,Less than $40K,Silver,24.0,5.0,2,2,12956.0,0,1.053,2492,56,0.931,0.0,
716169258,47.0,F,5,Graduate,Married,Less than $40K,Blue,39.0,3.0,3,4,7128.0,1560,0.573,1468,44,0.76,0.219,
713908683,51.0,M,1,Unknown,Single,$80K - $120K,Blue,41.0,6.0,2,2,18749.0,1314,0.711,1381,33,0.435,0.07,
708212658,38.0,,3,Graduate,Married,Less than $40K,,18.0,6.0,3,2,2193.0,1260,0.886,1799,47,0.567,0.575,
756013833,57.0,M,3,Doctorate,Married,$80K - $120K,Blue,50.0,3.0,2,3,4522.0,1861,0.957,1806,38,0.727,0.412,
719358333,36.0,M,4,Uneducated,Married,$40K - $60K,Blue,28.0,3.0,1,4,2157.0,574,0.825,1663,33,0.32,0.266,
713735508,35.0,M,3,Uneducated,Married,$80K - $120K,Blue,25.0,3.0,1,2,11927.0,675,0.574,1986,36,0.636,0.057,
805259733,55.0,F,2,Unknown,Married,Unknown,,50.0,6.0,1,4,11341.0,0,0.412,1731,46,0.586,0.0,
738749733,57.0,F,4,Doctorate,Married,Unknown,Blue,47.0,4.0,3,3,7345.0,1814,0.472,1390,30,0.25,0.247,
814833408,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,51.0,3.0,3,4,6036.0,1409,0.56,1741,45,0.364,0.233,
719182308,38.0,F,2,High School,,Less than $40K,Blue,27.0,6.0,1,3,2096.0,1567,0.778,1559,49,1.042,0.748,
818497758,54.0,F,3,Graduate,Married,Less than $40K,,49.0,4.0,1,3,1906.0,1271,0.574,1343,37,0.682,0.667,
719518308,48.0,M,2,Unknown,Unknown,$80K - $120K,,35.0,5.0,2,4,5039.0,0,0.757,1390,23,0.769,0.0,
709991883,53.0,M,1,Graduate,Married,$80K - $120K,Blue,42.0,2.0,1,2,6214.0,1147,0.861,938,35,0.75,0.185,
770901258,30.0,,1,Graduate,Married,Less than $40K,Blue,17.0,3.0,1,3,1512.0,810,1.294,2558,44,0.571,0.536,
711499158,47.0,M,2,Uneducated,,$80K - $120K,Silver,38.0,4.0,3,4,34516.0,733,1.229,3018,60,0.538,0.021,
720445533,60.0,F,1,College,Married,Less than $40K,Blue,53.0,4.0,3,3,3346.0,922,0.913,1276,21,0.75,0.276,
809951133,54.0,M,3,College,Single,$120K +,Blue,49.0,3.0,2,3,34516.0,0,1.203,2115,24,0.263,0.0,
714657108,37.0,F,2,Uneducated,,Less than $40K,Blue,28.0,5.0,2,4,6660.0,1362,1.36,2660,51,0.759,0.205,
789048858,32.0,F,1,Post-Graduate,Married,Less than $40K,Blue,20.0,5.0,2,3,2234.0,1865,0.732,2115,59,0.439,0.835,
771816408,44.0,F,4,Uneducated,Married,Less than $40K,Blue,33.0,5.0,4,2,9671.0,704,0.699,2955,66,0.941,0.073,
798158808,53.0,F,1,College,Single,$40K - $60K,Blue,47.0,5.0,3,2,6605.0,1479,0.739,2017,47,0.679,0.224,
787685658,43.0,M,2,High School,Divorced,$80K - $120K,Blue,33.0,4.0,3,2,3083.0,1898,1.042,1448,30,2.0,0.616,
720141408,49.0,F,2,Graduate,,Less than $40K,Blue,31.0,5.0,1,2,5456.0,951,0.737,1096,27,0.588,0.174,
788699808,38.0,F,4,Unknown,Single,Unknown,Blue,14.0,4.0,1,2,4394.0,0,0.889,1538,43,0.536,0.0,
708216108,56.0,,1,College,,$40K - $60K,Blue,44.0,5.0,1,4,4088.0,1557,1.248,2250,39,0.857,0.381,
715074258,26.0,F,0,Graduate,Single,$40K - $60K,Blue,36.0,5.0,3,3,3930.0,0,0.758,2067,42,0.355,0.0,
771653583,58.0,M,1,High School,,$60K - $80K,,46.0,3.0,2,4,4188.0,1147,1.042,1276,25,1.083,0.274,
717374358,33.0,M,1,Unknown,Married,$60K - $80K,Blue,22.0,3.0,3,0,3637.0,1998,1.412,2161,56,0.931,0.549,
720836808,35.0,M,3,High School,Single,$80K - $120K,,28.0,4.0,2,2,11521.0,1147,1.023,2260,68,1.125,0.1,
818701383,37.0,M,3,High School,Married,$60K - $80K,,32.0,6.0,2,2,2253.0,1667,0.884,1641,45,0.667,0.74,
717277833,27.0,F,1,Graduate,,Unknown,Blue,13.0,6.0,2,4,2339.0,2080,1.067,2294,45,0.452,0.889,
778137108,43.0,M,4,High School,Single,$80K - $120K,Blue,37.0,6.0,1,2,30503.0,2517,0.462,1860,47,0.306,0.083,
720973833,49.0,M,2,Graduate,Divorced,$60K - $80K,Blue,36.0,5.0,3,2,4596.0,0,0.93,2872,62,0.722,0.0,
768490458,49.0,M,2,Uneducated,Married,$80K - $120K,Blue,43.0,1.0,3,3,5701.0,2517,0.716,961,32,0.524,0.442,
751487358,39.0,F,3,Graduate,Married,Less than $40K,Blue,32.0,5.0,6,3,3221.0,0,0.678,1765,40,0.6,0.0,
712742808,41.0,F,3,Uneducated,Married,Less than $40K,Blue,29.0,5.0,3,3,3022.0,1142,0.403,1184,21,0.615,0.378,
712820208,32.0,F,0,High School,,Less than $40K,Blue,36.0,5.0,2,4,2699.0,1609,0.893,2141,56,0.806,0.596,
794649858,58.0,F,1,Uneducated,Married,Less than $40K,Blue,39.0,3.0,3,3,2210.0,1624,0.627,1287,37,0.48,0.735,
755262933,56.0,M,2,Post-Graduate,Married,$60K - $80K,Blue,49.0,5.0,3,4,1438.3,0,0.77,1446,38,0.81,0.0,
709541433,37.0,M,2,Graduate,Married,Less than $40K,Blue,36.0,3.0,3,4,2041.0,1687,0.677,1555,45,0.552,0.827,
820622433,39.0,M,1,High School,Married,$120K +,Blue,34.0,4.0,2,2,3250.0,1698,0.767,2006,58,0.568,0.522,
712586583,26.0,F,0,Graduate,Single,$40K - $60K,Blue,13.0,6.0,3,4,1643.0,1101,0.713,2152,50,0.471,0.67,
709816158,31.0,F,1,Unknown,,Unknown,Silver,36.0,4.0,3,2,34516.0,0,0.791,2183,60,1.069,0.0,
712196508,46.0,F,3,High School,Single,Unknown,Blue,34.0,4.0,3,3,29543.0,1164,0.717,1015,27,0.35,0.039,
767269908,36.0,M,2,College,Married,$120K +,,29.0,6.0,3,2,3158.0,0,1.209,2973,63,0.969,0.0,
710927733,39.0,M,1,Unknown,Married,$80K - $120K,Blue,36.0,6.0,2,3,2899.0,1999,0.832,1687,35,0.591,0.69,
711310908,53.0,F,4,College,Married,Less than $40K,,,4.0,1,3,2972.0,2160,0.956,2552,62,0.676,0.727,
788862333,38.0,F,3,Uneducated,Married,Less than $40K,Blue,23.0,6.0,2,2,5645.0,0,1.05,1527,32,0.455,0.0,
713194608,37.0,M,2,Graduate,Married,Less than $40K,Blue,36.0,6.0,3,2,2463.0,1751,0.854,2171,58,0.758,0.711,
793550958,47.0,F,2,Graduate,Married,Less than $40K,Blue,41.0,5.0,3,4,1438.3,0,0.8,1501,40,0.739,0.0,
712607583,56.0,M,1,College,Divorced,$80K - $120K,,36.0,3.0,3,3,34516.0,1477,1.234,2395,50,0.724,0.043,
713921058,55.0,F,3,High School,Married,Less than $40K,Blue,48.0,6.0,2,2,2897.0,1601,0.878,1337,25,0.471,0.553,
709183683,31.0,F,0,Uneducated,Single,Less than $40K,Blue,36.0,4.0,2,0,5391.0,0,1.075,1971,56,0.6,0.0,
713407458,62.0,F,0,Graduate,Single,Unknown,Blue,36.0,5.0,2,4,2870.0,2284,0.661,3946,74,0.574,0.796,
